id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.365754513876176,4.941419235184398,Private room,49,3,249,2018-12-30,2.09,1,18
20168,100%Centre-Studio 1 Private Floor/Bathroom,59484,Alexander,,Centrum-Oost,52.365087026809164,4.8935410078410095,Entire home/apt,80,1,240,2019-01-08,2.22,2,184
25428,Lovely apt in City Centre (Jordaan),56142,Joan,,Centrum-West,52.37311440038617,4.883668196205626,Entire home/apt,125,14,1,2018-01-21,0.08,2,155
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38672731612469,4.892078070089338,Private room,150,2,175,2018-12-30,2.05,1,164
28658,Cosy guest room near city centre -1,123414,Michele,,Bos en Lommer,52.37534217754822,4.857289350245441,Private room,65,3,438,2018-12-26,4.15,2,265
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36718680818601,4.890917797129656,Private room,75,2,222,2019-01-01,2.17,3,134
29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36772541044574,4.891511737154662,Private room,55,2,388,2019-01-01,4.07,3,200
31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.351320541867395,4.84838289937379,Entire home/apt,219,3,32,2017-10-16,0.35,1,0
41125,Amsterdam Center Entire Apartment,178515,Fatih,,Centrum-West,52.3789147700269,4.8832050564993645,Entire home/apt,180,5,77,2019-01-04,0.78,1,49
42970,Comfortable room@PERFECT location + 2 bikes,187580,Micha,,Centrum-West,52.36781447589647,4.890012023439633,Private room,159,3,430,2018-12-23,4.23,2,224
43980,View into park / museum district (long/short stay),65041,Ym,,Zuid,52.3574562838326,4.861242085387215,Entire home/apt,100,28,61,2018-02-18,0.61,2,20
44129,Luxury design with canal view,187728,Tanya,,Centrum-West,52.380711229831924,4.886104318098604,Entire home/apt,250,2,176,2018-10-01,1.72,4,14
44391,"Amsterdam Centre, 3-room Apartment",194779,Jan,,Centrum-Oost,52.37016998640934,4.914377826765493,Entire home/apt,200,3,31,2018-11-18,0.31,1,0
46386,Cozy loft in central Amsterdam,207342,Joost,,De Pijp - Rivierenbuurt,52.35247025928299,4.908254440320654,Entire home/apt,150,3,3,2018-01-03,0.03,1,0
47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes - Oud-West,52.36798609885809,4.874469331907506,Entire home/apt,140,2,169,2018-12-29,1.67,1,0
48076,Amsterdam Central and lot of space,219080,Franklin,,Centrum-West,52.3804200178011,4.894534735097551,Entire home/apt,350,5,162,2019-01-02,1.83,2,255
49790,Luxurous Houseboat-Great Location,227530,Klaas,,De Baarsjes - Oud-West,52.362663786120464,4.861031740012395,Entire home/apt,225,3,98,2018-11-18,1.05,1,261
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37727239832183,4.839252562940868,Entire home/apt,120,3,13,2018-12-30,0.23,1,94
50518,Perfect central Amsterdam apartment,231806,Nikki,,Westerpark,52.382006131614766,4.878649621335048,Entire home/apt,125,1,92,2018-12-30,1.21,1,12
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.368407897663175,4.884133704990546,Private room,115,2,217,2018-12-28,2.22,1,196
50570,Bright Apartment - residential area,232321,Evert,,Bos en Lommer,52.377737441667115,4.848911991360075,Entire home/apt,90,4,153,2018-12-10,1.61,2,0
52490,Amsterdam Aqua,185836,VictorLuke,,Oostelijk Havengebied - Indische Buurt,52.370045892661075,4.9386912362462985,Private room,72,3,81,2018-11-25,0.81,1,0
53067,Green studio at the attic of a townhouse,246493,Do & Jo,,De Pijp - Rivierenbuurt,52.35339266870349,4.900637642957302,Private room,87,1,341,2019-01-06,3.44,5,0
53671,Nice room near centre with en suite bath,247822,Georg,,Westerpark,52.38905337111383,4.885588535129938,Private room,75,3,263,2018-12-19,2.78,1,65
53692,Large quiet Studio with gardenview in hip area.,246493,Do & Jo,,De Pijp - Rivierenbuurt,52.35348315568917,4.900490171525591,Private room,60,1,220,2018-12-26,2.37,5,29
55256,Luminous centric room,260785,Lotte,,Centrum-Oost,52.37125688886693,4.903513145133119,Private room,86,1,123,2018-12-11,1.28,1,121
55703,groundfloor apartment with patio,263214,Arjan,,Bos en Lommer,52.375608160344214,4.858187467526309,Entire home/apt,250,3,3,2016-10-19,0.07,1,12
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.35895649627122,4.897259341005234,Entire home/apt,159,5,52,2018-10-15,0.53,1,0
55807,"Greatly located, cozy atmosphere",263844,Rai & Clo,,De Baarsjes - Oud-West,52.36965708064435,4.86202542655024,Private room,60,2,150,2018-06-08,1.51,1,61
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35613297581244,4.885149546738222,Entire home/apt,149,4,88,2018-08-13,0.90,1,143
56879,"86 m2, city centre & lovely view",270282,Linda & Theo,,Centrum-West,52.38453334724865,4.892545431659382,Entire home/apt,112,28,1,2012-07-27,0.01,1,315
57978,Still cosy X Mas availability!,276959,Elisabeth,,De Baarsjes - Oud-West,52.36448156797004,4.877220554469521,Entire home/apt,125,3,145,2018-06-18,1.46,1,306
58211,En Suite accommodation in a monumental canal house,278253,Marcel,,Centrum-West,52.36916479165701,4.88444534479915,Private room,225,3,83,2019-01-02,1.04,2,219
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36445272153109,4.931235930520656,Entire home/apt,109,2,22,2019-01-03,0.23,1,18
62801,Very nice appartment ALL of januari,306117,Jan,,Bos en Lommer,52.38458682993324,4.854626513131404,Entire home/apt,750,30,0,,,1,365
64736,Luxury Houseboat,306192,Conny,,De Baarsjes - Oud-West,52.363481306084545,4.8678339776210455,Entire home/apt,145,4,92,2018-07-30,1.41,1,0
64769,Unique 3 bedroom house in Centre,312863,Marijntje,,Centrum-Oost,52.36225384125853,4.901999344356419,Entire home/apt,450,4,27,2019-01-05,0.29,1,82
65230,Juwelier,213960,Riek,,Centrum-West,52.368713041376715,4.892843389610457,Entire home/apt,179,3,83,2018-01-19,0.90,1,72
67841,Amsterdam - The Pijp Apartment 1A,335166,Dene,,De Pijp - Rivierenbuurt,52.35472482794198,4.893237543427079,Entire home/apt,100,3,9,2018-07-25,0.14,2,0
68290,Rebel - Private Room,336950,Manuel,,Centrum-West,52.36887077967528,4.895233891315304,Private room,109,1,582,2019-01-06,6.10,4,154
68873,Yves Klein - Private Room,336950,Manuel,,Centrum-West,52.36950063833623,4.895559709996519,Private room,109,1,533,2019-01-08,5.54,4,163
69042,Cozy Studio || Located at the canal!,344312,Kjetil,,Centrum-West,52.3735271992129,4.876905973776999,Private room,108,3,136,2018-12-31,1.45,2,71
73208,Centre Museum Quarter Apt Roof Deck,381900,Vikki,,Zuid,52.3593509829142,4.876721555693787,Entire home/apt,220,5,59,2019-01-04,0.62,1,13
73917,B28 Unique Houseboat  Herengracht,387205,Edwin,,Centrum-West,52.37894280400969,4.8906019961928315,Entire home/apt,175,3,82,2018-08-05,1.20,1,296
74367,Dutch designer canal house apartment (city centre),391075,Ruben,,Centrum-West,52.37479553602838,4.880446471317074,Entire home/apt,260,7,10,2011-11-09,0.10,1,318
75382,Garden Suite Studiohttps://www.airbnb.com/manage-l,399879,Tina,,Oud-Oost,52.364824885646925,4.927615548923432,Private room,105,3,184,2019-01-05,1.97,3,97
75444,Cottage Room- Completely Private,399879,Tina,,Oud-Oost,52.365509785021295,4.92848070367906,Private room,70,3,247,2019-01-02,2.66,3,48
76668,"studio INN, bright and spacious",409579,Guido,,Westerpark,52.38897577588911,4.890432078271875,Private room,135,2,41,2019-01-06,1.32,1,225
80634,Amazing location - canalhouse room,436145,Riks,,Centrum-West,52.379756485493104,4.893977373685979,Private room,180,2,118,2019-01-04,1.93,5,57
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,,Centrum-West,52.37875854166036,4.892635936570945,Private room,115,2,161,2019-01-08,1.69,5,73
82482,The Backroom - Central private appt,186729,Shawna,,Centrum-West,52.37025973342051,4.8800301947340445,Entire home/apt,95,1,704,2019-01-12,7.63,1,172
82748,Bright apt in central Amsterdam,450453,Rudolf,,Centrum-West,52.37307393018357,4.893431575249236,Entire home/apt,249,3,118,2019-01-05,1.25,2,234
83498,Single attic room for one person only,124245,Edwin,,Centrum-West,52.36722763483103,4.8912353178468555,Private room,45,2,410,2018-12-30,6.93,3,177
83814,Central Studio apartment in Trendy De Pijp,457263,Daniel,,De Pijp - Rivierenbuurt,52.35632458497059,4.88920966951974,Entire home/apt,98,2,144,2018-11-04,1.53,1,17
84057,Bed&Bike SleepOnNature - free bikes,459028,Stefania,,De Baarsjes - Oud-West,52.36487799770621,4.851095907658351,Private room,100,3,69,2018-12-27,0.75,4,345
91535,"Houseboat ""Ramona"" Amsterdam centre",494281,Michiel,,De Pijp - Rivierenbuurt,52.357253879494685,4.8958791452777914,Entire home/apt,189,3,29,2018-10-15,0.32,1,0
96048,De Baronie B&B in historic centre,510526,Tuhami,,Centrum-Oost,52.3727002322338,4.907761448144871,Private room,75,1,123,2018-12-20,2.57,1,347
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34910345830748,4.836112244063564,Private room,40,2,144,2018-12-27,1.57,2,350
107195,"A'dam Centre, Bright and Comfy",249794,Marieke,,Centrum-Oost,52.37007447331487,4.919603853810987,Entire home/apt,150,3,32,2018-12-30,0.36,1,21
107972,museums and music,558976,Joke,,De Baarsjes - Oud-West,52.36397157038665,4.876509426612257,Entire home/apt,100,3,75,2018-12-04,0.80,1,16
108890,Amsterdam at its best,563208,Jorien,,De Baarsjes - Oud-West,52.360829254313956,4.856667424731347,Entire home/apt,100,5,3,2018-05-30,0.14,1,0
115795,Jardin Dreams | Warm | 2 Bedrooms|Renovated|,468497,Lennart,,De Pijp - Rivierenbuurt,52.35243725600265,4.8959480405072835,Private room,165,90,105,2017-07-12,1.23,1,0
118097,"all private, art @ home in city center-1",538659,Wendie And Hans,,Centrum-West,52.365705366407134,4.884636190342679,Private room,95,4,317,2019-01-04,3.84,2,47
118117,Lovely self contained studio in Oud West,596513,Nina & Benjamin,,De Baarsjes - Oud-West,52.36888343604765,4.8695483308640055,Private room,87,3,492,2019-01-02,5.37,1,211
120872,Retro Luxury Apartment,607597,Martijn,,Bos en Lommer,52.381931715349765,4.855407320845144,Entire home/apt,99,2,139,2018-12-24,1.54,2,57
125425,Bohemian apartment in nice area,623749,Elwin,,Oud-Oost,52.36097457391602,4.9276114601574,Entire home/apt,100,3,38,2016-11-14,0.42,1,0
130390,Large private room for rent Center / De Pijp,642044,Jessy,,De Pijp - Rivierenbuurt,52.35516967099702,4.8896934048978045,Private room,80,2,29,2017-10-15,0.33,1,0
130445,Entire apartment museumarea,642281,Amsterdamissy,,Zuid,52.34836334778341,4.85179726461684,Private room,49,1,33,2019-01-01,0.36,2,350
134400,Luxuery Canal mansion in city centre of Amsterdam,659620,Vic En Victoria,,Centrum-West,52.37630019656772,4.890664144572963,Entire home/apt,194,2,139,2018-07-10,1.52,1,0
137026,Entire house with garden in De Pijp,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35360906374398,4.90562103218313,Private room,259,3,90,2019-01-04,1.05,1,61
141708,light modern & cosy apartment,689016,Cindy,,Oostelijk Havengebied - Indische Buurt,52.36460689704278,4.938920082534415,Entire home/apt,98,3,82,2018-10-15,0.89,1,21
148132,Bright room in lively Kinkerbuurt,715549,Remy,,De Baarsjes - Oud-West,52.36859520946438,4.8648703187646385,Private room,52,2,4,2018-11-25,1.41,1,0
150634,Lovely room in apartment near Vondelpark,725727,Colin Jeffrey,,De Baarsjes - Oud-West,52.36673740948231,4.867455513006409,Private room,150,2,52,2018-06-24,1.56,1,134
152280,100% independent studio with balcony and WiFi,732783,Max Osole,,Bos en Lommer,52.37961371756431,4.854432292549279,Private room,89,1,585,2018-12-17,6.38,1,1
156815,Welcome on our 30p ship in Amsterdam!,753530,Averechts,,Oud-Noord,52.3889228110243,4.940242639590474,Entire home/apt,695,2,27,2018-12-02,0.31,1,102
162467,Modern 1bedroom app. near city cent,776296,Nicole,,De Baarsjes - Oud-West,52.36367589364938,4.855056296869676,Entire home/apt,145,3,47,2019-01-04,0.65,1,330
165833,Amsterdam at your feet,790547,Bart,,De Baarsjes - Oud-West,52.3733601256194,4.857537320392232,Entire home/apt,74,2,37,2018-05-23,0.70,1,12
168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,,Centrum-West,52.37915713158127,4.894086123937185,Private room,120,2,207,2019-01-02,2.33,5,73
169356,"Roofterrace 360', Zen, Canal-View,  Light,  Luxury",806976,Nick,,Centrum-West,52.381717144651354,4.883104127485947,Entire home/apt,220,7,18,2018-08-29,0.20,1,106
171054,Spacious apartment next to center,815989,Kamiel,,De Baarsjes - Oud-West,52.369163865035894,4.86643475054097,Entire home/apt,120,6,103,2018-11-28,1.13,1,0
171631,"Pleasant,cosy & crazy apartment with small balcony",818479,Keja,,De Baarsjes - Oud-West,52.36338791622051,4.854023483245943,Entire home/apt,89,3,45,2018-04-03,0.49,1,358
175989,"Large, sunny, perfect location plus awesome cat!",58458,Dre&Kareltje,,De Baarsjes - Oud-West,52.359635047312665,4.86712810037115,Entire home/apt,100,3,99,2018-04-13,1.11,1,0
179528,Authentic Amsterdam apartment RAI,856540,Pierre,,De Pijp - Rivierenbuurt,52.34231257943105,4.894194976598042,Entire home/apt,230,29,26,2017-03-03,0.29,2,262
184282,Romantic apartment in the heart of the city,883996,Sharon,,Centrum-Oost,52.3632132423945,4.889051424334264,Entire home/apt,230,3,162,2019-01-02,1.86,1,331
188347,Clean & Cozy room + Free Bikes,907405,Yahav,,De Baarsjes - Oud-West,52.3682390801243,4.853210748039302,Private room,50,1,323,2018-12-29,3.59,2,41
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,,Centrum-West,52.37433431603307,4.89246876049259,Private room,160,2,131,2018-12-16,1.47,1,228
190585,Cozy bright place with Garden !,920732,Cornelia,,Westerpark,52.384872118192305,4.872481357594563,Entire home/apt,110,4,88,2018-12-04,0.98,1,71
190943,Lovely light appartment with garden,922787,Nanna,,Zuid,52.352213808609335,4.846612397531583,Entire home/apt,150,4,9,2018-10-26,0.11,1,0
193038,17thC. studio center Amsterdam,935742,Johan,,Centrum-Oost,52.36087117968658,4.895590649743387,Private room,95,3,505,2018-12-23,5.65,1,178
198307,The best spot to discover Amsterdam,967796,Marie-Katrien,,Centrum-West,52.38393030999055,4.89237125764235,Entire home/apt,100,13,37,2017-05-03,0.41,1,0
199844,ART & DESIGN APARTMENT,976652,Home,,Westerpark,52.38351266036433,4.875730763066735,Entire home/apt,99,5,42,2017-05-02,0.47,1,12
200461,Studio next 2 V´park near Leidsepl.,539840,Johanna,,De Baarsjes - Oud-West,52.35930674965399,4.861108430236531,Entire home/apt,79,3,35,2019-01-03,0.39,1,26
201322,TOP location with ROOF TERRACE in centre -6 months,542540,Bart,,Centrum-West,52.37184057754969,4.881707856110731,Entire home/apt,74,25,64,2018-10-23,0.73,1,198
203658,Best Area - Large Luxury 3 Bdr Home,999036,Eelco,,Zuid,52.347439162272735,4.868860660076601,Entire home/apt,284,3,24,2017-07-02,0.28,1,0
204014,Well located apartment for you!,1001281,Irma,,De Baarsjes - Oud-West,52.37086528996354,4.8659566161588055,Entire home/apt,99,4,15,2018-08-05,0.17,1,0
205759,Central yet quiet studio apartment,1011967,Tim,,De Baarsjes - Oud-West,52.368891874036485,4.864288391158311,Entire home/apt,99,1,2,2015-07-27,0.05,1,0
211408,Nice apt close to Amstel&citycenter,1090600,Flavio,,Watergraafsmeer,52.34960602639994,4.917382651717473,Private room,50,2,161,2019-01-02,1.80,1,347
212050,Spacious home w roof garden,887591,Danielle,,De Baarsjes - Oud-West,52.36894703660459,4.864515338244789,Entire home/apt,180,3,13,2018-04-29,0.15,1,358
213721,Amsterdam Apartment (waterview),599238,Anouk,,Zuid,52.35165078027672,4.846533443446924,Private room,129,3,39,2018-11-13,0.44,1,365
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,,Centrum-West,52.37068836237494,4.895157177391901,Private room,114,3,150,2018-10-13,1.71,1,196
217692,THE AMSTERDAM RAI EXPERIENCE / FREE PARKING / WIFI,1124563,Nicole,,De Pijp - Rivierenbuurt,52.33761522397163,4.893596487180915,Entire home/apt,150,3,14,2018-09-19,0.27,1,357
219276,Suite in Canalhouse with Jacuzzi ,1135329,Amsterdam Boutique Apartments,,Centrum-West,52.3689052504095,4.889704568580539,Entire home/apt,265,2,1,2012-07-31,0.01,2,319
221943,Cozy Houseboat - Central Amsterdam,1151745,Mario,,De Baarsjes - Oud-West,52.36563714208944,4.876398386996833,Entire home/apt,170,3,188,2019-01-06,2.13,1,234
222516,Homely and tasteful apartment in Amsterdam,1155595,Alex,,De Baarsjes - Oud-West,52.3610982308987,4.858935153103976,Entire home/apt,100,2,112,2019-01-11,1.27,1,13
226121,Great apartment in top neighborhood,1178877,Eric,,De Baarsjes - Oud-West,52.359573011185105,4.86589459094221,Private room,165,4,84,2019-01-03,0.94,1,70
230710,Jordaan apt with views of canals and Westerkerk,1205924,Peter,,Centrum-West,52.375914346668075,4.878066562935041,Entire home/apt,125,14,16,2018-08-31,0.19,1,0
236180,Modern stylish apartment,1238074,Rozemarijn,,Centrum-West,52.36573647010967,4.8802090220914405,Entire home/apt,175,3,2,2016-09-11,0.04,1,0
236632,Charming 1 BR apartment in museum district,77484,Annelies,,De Pijp - Rivierenbuurt,52.35613973312535,4.888475752086381,Entire home/apt,100,7,111,2019-01-07,1.29,5,258
237017,Cozy & stylish near Jordan/Centre,1158389,Anke,,De Baarsjes - Oud-West,52.3714933602559,4.862764028623305,Entire home/apt,80,3,17,2018-02-26,0.23,1,12
239647,Central location private attic room,1232843,Harm,,De Baarsjes - Oud-West,52.364516655500545,4.875872996810312,Private room,86,2,547,2018-12-31,6.20,2,34
240191,Private Room on Amsterdam Canal near museumarea,642281,Amsterdamissy,,Zuid,52.349775394837195,4.852755628340204,Private room,55,1,0,,,2,356
245927,Sonnenberg - Canal side & view - Most central spot,1005087,Wytse,,Centrum-West,52.36791223428661,4.888085819078586,Entire home/apt,400,2,59,2019-01-06,0.72,2,7
247805,"Bellavista, central,with canal view",1298735,Carolien,,De Baarsjes - Oud-West,52.36588424052564,4.872613822339189,Private room,119,2,290,2018-12-29,3.33,1,232
250702,Charming Full Option Amsterdam Apt,1314459,David,,De Pijp - Rivierenbuurt,52.346035277702406,4.897093661068418,Entire home/apt,120,3,37,2017-02-22,0.43,1,0
250751,Modern studio near central AMS,1314658,Mira,,Oostelijk Havengebied - Indische Buurt,52.36609902269462,4.932987129096548,Entire home/apt,70,2,97,2018-08-07,1.12,1,0
253650,Great room @ BEST location  + 2 bikes!,187580,Micha,,Centrum-West,52.367751656756,4.889815058128981,Private room,149,3,363,2019-01-02,4.25,2,303
253792,Luxury City Center Canal Apartment,106225,Jeff,,Centrum-West,52.37408073348525,4.897792585847226,Entire home/apt,193,2,77,2018-10-28,0.89,1,15
254104,The Flying Pancake B&B Amsterdam,1334704,Claudia,,Centrum-Oost,52.36513246667161,4.908371799288464,Private room,145,2,65,2018-10-20,1.46,1,293
254800,Amazing apartment in city center,1337537,Diederik,,Centrum-West,52.371308697430095,4.882063422033224,Entire home/apt,250,2,42,2018-09-17,0.61,1,17
255177,"Room with sauna, patio a study and a kitchenette",1340887,Carolien & Marcel,,De Pijp - Rivierenbuurt,52.35698087792092,4.890688061048634,Private room,125,4,92,2019-01-02,3.23,1,202
255202,Amsterdam B&B Barangay,1340998,Godwin Guido Sol Dumagat,,Centrum-West,52.376827040334476,4.889139866845394,Private room,188,3,2,2012-02-13,0.02,2,365
255809,Stylish apartment with free carpark,1344947,Froukje & André,,De Pijp - Rivierenbuurt,52.34425830623576,4.887220320280407,Private room,150,2,60,2018-06-25,0.73,1,137
256340,Central Amsterdam Apt,1348274,John,,Centrum-Oost,52.36835101492164,4.924069390070279,Entire home/apt,100,4,4,2017-07-14,0.06,2,0
256670,"Caracteristic, family apartment",1350388,Stefan,,De Baarsjes - Oud-West,52.35941331459236,4.85995300757864,Entire home/apt,168,7,6,2018-01-05,0.09,1,0
258273,Great CENTRAL apartment De Pijp,1358307,Peter,,De Pijp - Rivierenbuurt,52.35420047523089,4.8915960167125405,Entire home/apt,8000,30,8,2013-10-22,0.10,1,365
260187,Lovely Bright Apartment in the East,1365416,Marike,,Oud-Oost,52.3580919064273,4.935606229701712,Entire home/apt,99,4,26,2015-08-16,0.32,1,0
262209,AirbnBABY! Family holiday made easy,1375554,Claire,,Oostelijk Havengebied - Indische Buurt,52.3616422185585,4.938273700070705,Entire home/apt,73,2,14,2018-11-05,0.16,1,0
262394,Charming Studio with Roof Terrace,1376607,Martin,,Zuid,52.35519127920091,4.851167699222689,Private room,88,3,103,2018-11-23,1.25,1,10
262562,Cozy apartment in top located canal,1294098,Fernando,,Centrum-West,52.37416858770748,4.8865013132855335,Entire home/apt,190,30,4,2017-09-20,0.06,1,90
264628,Lovely Charming House in Amsterdam!,1388357,Karen,,Noord-Oost,52.383335931440406,5.0037078895760665,Entire home/apt,100,2,1,2015-12-31,0.03,1,359
265349,"Private, central & luxurious apment",1391689,Fleur,,De Baarsjes - Oud-West,52.360478436352,4.8634504578406945,Entire home/apt,85,3,20,2018-09-17,0.23,1,0
266087,Bed&Café The place to be in AMS,1317420,Toñi,,Centrum-Oost,52.361643337443546,4.902582218496272,Entire home/apt,125,2,7,2019-01-01,0.09,1,292
270839,Quiet room in sunny apartment on canal,1417625,Jan And Tota,,Bos en Lommer,52.37745205487656,4.8599447044445405,Private room,70,3,167,2019-01-05,2.07,1,39
271599,No.2,1421327,Holger,,Zuid,52.352710740060054,4.857715661493579,Private room,900,2,173,2016-07-01,2.02,2,0
271787,Quiet B&B in center of Amsterdam (Jordaan),1422303,Hans Onno,,Centrum-West,52.370487549229615,4.879669027912172,Private room,110,3,12,2019-01-07,0.15,1,177
272597,"Luxury appartm, good neighbourhood",1426693,Arnoud,,Zuid,52.3463259409881,4.856285933979298,Entire home/apt,120,5,6,2018-04-08,0.15,1,0
274688,Cozy sleeping in popular Amsterdam West,1435990,Marij,,Bos en Lommer,52.378429803881374,4.854837092707593,Entire home/apt,125,2,37,2018-09-14,0.43,1,68
276275,Great loft: live the good life. Next to the RAI.,1443641,Gideon,,De Pijp - Rivierenbuurt,52.339212736160064,4.8937594617644065,Entire home/apt,169,4,22,2017-11-25,0.28,1,364
277011,nice apartment in centre amsterdam,1446698,Aafje,,De Baarsjes - Oud-West,52.358295084395394,4.859091947726598,Entire home/apt,125,4,20,2018-11-14,0.25,1,0
278823,Luxury & quiet room 1 person,615517,Barbara,,De Baarsjes - Oud-West,52.36599949646363,4.863530499078753,Private room,74,3,141,2018-07-29,1.65,2,61
282269,Your central home in wonderful AMS!,1471195,Judith,,Zuid,52.350174187638444,4.852550385021249,Entire home/apt,115,10,3,2015-09-15,0.05,1,0
283170,5-bedrooms house; central location,1451657,Marco,,Zuid,52.35353190803815,4.87513957048843,Entire home/apt,650,2,100,2018-12-21,1.22,1,0
283621,Luxury in CITY-CENTRE!,1477248,Erik,,Centrum-West,52.38057059973005,4.885651833945759,Entire home/apt,105,7,33,2019-01-05,0.39,9,0
284319,Excellent Room 3 centre Amsterdam,1480817,Gerard,,Centrum-Oost,52.360092579387,4.894611813107176,Private room,115,2,16,2018-01-03,0.19,2,238
286500,"Center,Canal View, Private Bathroom",1491565,David,,Centrum-West,52.374969607052044,4.898844426998336,Private room,150,3,251,2019-01-06,2.97,2,265
288967,BandB de Baarsjes Amsterdam,1501422,Erwin,,De Baarsjes - Oud-West,52.361917846575416,4.855506729617166,Private room,30,2,385,2019-01-07,4.76,1,144
289071,"Romantic houseboat in Jordaan, private room.",1501819,Tanneke,,Centrum-West,52.38037332265366,4.880206599315086,Private room,90,3,181,2019-01-02,2.12,1,10
290701,"Center, Large&Sunny Room,Pvt Bathrm",1491565,David,,Centrum-West,52.37614418117013,4.89893668521752,Private room,150,3,290,2019-01-06,3.45,2,295
291637,cosy bedroom | garden | near center | breakfast,1247363,Alexa & Scott,,Watergraafsmeer,52.35250591463525,4.9433842147967235,Private room,95,2,8,2018-02-12,0.10,2,0
291752,Cozy & large bohemian style room ,1511330,Ton,,Oud-Oost,52.35278647339952,4.912563881379626,Private room,89,2,187,2018-11-18,2.18,1,348
293337,Sunny Apartment along river IJ,1493495,Tinda,,Oud-Noord,52.381705180975445,4.91440092191971,Private room,105,4,23,2018-07-08,0.28,1,358
293514,Volledig huis-apartement,1518360,Mw,,Oud-Noord,52.38744099692565,4.909601962312536,Entire home/apt,74,1,5,2015-09-22,0.11,1,0
294226,No.1,1421327,Holger,,Zuid,52.35588860967542,4.857073082184386,Private room,900,2,165,2016-07-01,2.02,2,0
294468,Amsterdam Center -entire apartment,1509881,Godelief,,Centrum-Oost,52.362943800075655,4.909439787170198,Entire home/apt,175,3,14,2017-06-12,0.34,1,0
296452,Ground floor Family home & garden,615517,Barbara,,De Baarsjes - Oud-West,52.36627391376461,4.864991946686574,Entire home/apt,164,3,5,2019-01-05,0.07,2,0
297220,Lux apt +50m2 Roof Terrace @De Pijp,1532319,Anand,,De Pijp - Rivierenbuurt,52.35755028092293,4.9014419879065905,Entire home/apt,117,6,83,2018-06-30,0.97,1,12
300067,Nice big Room close to centre,1545992,Kaya,,Oud-Oost,52.35668265041881,4.916947232348021,Private room,45,4,9,2018-02-12,0.11,1,0
301220,Cosy apartment in charming Jordaan,1550321,Frederika,,Centrum-West,52.371543686982484,4.875964528610951,Entire home/apt,125,3,83,2017-02-28,0.98,1,0
302426,Sunny family flat in the Jordaan!,1557454,Lia & Reinier,,Centrum-West,52.37997195021686,4.887070399875172,Entire home/apt,126,5,14,2017-09-10,0.17,1,0
304189,Smack dab middle of Amsterdam,1565512,Benjamin,,Centrum-West,52.370938776639,4.876535074104979,Entire home/apt,165,5,79,2018-08-13,0.94,1,90
305200,Split level Design Canal Apartment,1135329,Amsterdam Boutique Apartments,,Centrum-West,52.369569405758476,4.8883043363701555,Entire home/apt,550,2,3,2018-11-18,0.10,2,81
305809,Canal & Parkview Apartment,1573009,Clyde,,Westerpark,52.38448469190105,4.871161920402937,Entire home/apt,295,1,122,2019-01-01,1.48,1,355
306852,"SunShine, A Sunny Amsterdam Special",1141485,Gisèle And Simon,,Centrum-Oost,52.35955184862691,4.897903333119471,Entire home/apt,195,3,11,2018-10-27,0.14,2,0
307470,Unique waterfront canal apartment,1582009,Michiel,,Centrum-Oost,52.37311831765251,4.9065281458072185,Entire home/apt,130,21,6,2016-02-22,0.08,1,94
307497,Sailing Ship Amsterdam Centre (1),1582128,Petra,,Westerpark,52.3933676008294,4.883008781989972,Entire home/apt,464,2,88,2019-01-01,1.14,2,132
308028,"SunFlower, A Sunny B&B + 2 Bicycles",1141485,Gisèle And Simon,,Centrum-Oost,52.35853173707145,4.897510929347351,Private room,90,3,29,2019-01-07,0.50,2,12
309436,"Luxurious 17C Canal Villa Studio, 
Free Parking",1570754,Janet,,Oud-Noord,52.3999228375966,4.920000147987164,Private room,135,2,61,2018-08-06,0.87,1,347
310722,Cozy Central Apartment Amsterdam,1598424,Valentijn,,De Baarsjes - Oud-West,52.35901103004662,4.864397797689104,Entire home/apt,169,2,28,2016-10-22,0.39,1,0
311124,*historic centre* *bright* *canal view* *jordaan*,1600010,Anke & Robert,,Centrum-West,52.371433377948456,4.876667139735056,Entire home/apt,200,3,72,2018-09-23,0.88,1,362
